,twitter_id,twitter_username,party
165,305216911,RepBobbyRush,Democrat
166,13491312,RepTimRyan,Democrat
167,926446070812602371,Kilili_Sablan,Democrat
168,364415553,RepSarbanes,Democrat
169,1209417007,SteveScalise,Republican
170,24195214,JanSchakowsky,Democrat
171,29501253,RepAdamSchiff,Democrat
172,20545793,RepSchrader,Democrat
173,17494010,SenSchumer,Democrat
174,229197216,RepDavid,Republican
175,234797704,AustinScottGA08,Republican
176,168673083,RepDavidScott,Democrat
177,161791703,BobbyScott,Democrat
178,217543151,SenatorTimScott,Republican
179,381152398,RepTerriSewell,Democrat
180,21111098,SenShelby,Republican
181,30216513,BradSherman,Democrat
182,76132891,CongMikeSimpson,Republican
183,18696134,RepSires,Democrat
184,58928690,RepAdamSmith,Democrat
185,296245061,RepAdrianSmith,Republican
186,24913074,RepSpeier,Democrat
187,312134473,RepLindaSanchez,Democrat
188,82453460,BennieGThompson,Democrat
189,303861808,RepThompson,Democrat
190,18967498,CongressmanGT,Republican
191,296361085,SenJohnThune,Republican
192,84119348,RepPaulTonko,Democrat
193,221162525,SenToomey,Republican
194,51228911,RepMikeTurner,Republican
195,124224165,RepFredUpton,Republican
196,18137749,ChrisVanHollen,Democrat
197,164369297,NydiaVelazquez,Democrat
198,237862972,RepWalberg,Republican
199,1140648348,RepDWStweets,Democrat
200,36686040,RepMaxineWaters,Democrat
201,281540744,RepWebster,Republican
202,1410590874,PeterWelch,Democrat
203,254082173,RepJoeWilson,Republican
204,234014087,RepWilson,Democrat
205,15356407,RobWittman,Republican
206,234469322,Rep_SteveWomack,Republican
207,250188760,RonWyden,Democrat
208,384913290,RepJohnYarmuth,Democrat
209,234128524,SenToddYoung,Republican
210,402719755,MarkAmodeiNV2,Republican
211,558769636,RepBonamici,Democrat
212,995193054,RepDelBene,Democrat
213,975200486,RepThomasMassie,Republican
214,1155335864,RepDonaldPayne,Democrat
215,1262099252,SenBrianSchatz,Democrat
216,1080509366,RepBillFoster,Democrat
217,122174004,RepDinaTitus,Democrat
218,968650362,SenTomCotton,Republican
219,1080844782,SenatorSinema,Democrat
220,1069124515,RepLaMalfa,Republican
221,1071102246,RepHuffman,Democrat
222,950783972,RepBera,Democrat
223,942156122,RepSwalwell,Democrat
224,1243902714,RepBrownley,Democrat
225,1222257180,RepCardenas,Democrat
226,1089859058,RepRaulRuizMD,Democrat
227,1037321378,RepMarkTakano,Democrat
228,1055730738,RepLowenthal,Democrat
229,1260172386,RepJuanVargas,Democrat
230,1135486501,RepScottPeters,Democrat
231,1077121945,RepLoisFrankel,Democrat
232,1058520120,SenDuckworth,Democrat
233,993153006,RodneyDavis,Republican
234,1092979962,RepCheri,Democrat
235,1089334250,RepAndyBarr,Republican
236,970207298,SenWarren,Democrat
237,1068481578,SenAngusKing,Independent
238,1045110018,RepDanKildee,Democrat
239,1051446626,RepAnnWagner,Republican
240,11651202,SteveDaines,Republican
241,935033864,RepRichHudson,Republican
242,1048784496,SenKevinCramer,Republican
243,1071402577,SenatorFischer,Republican
244,1058717720,RepAnnieKuster,Democrat
245,1051127714,RepGraceMeng,Democrat
246,467823431,RepJeffries,Democrat
247,1072467470,RepSeanMaloney,Democrat
248,518644221,RepBradWenstrup,Republican
249,1531521632,RepBeatty,Democrat
250,976969338,RepDaveJoyce,Republican
251,1060370282,RepMullin,Republican
252,18773159,RepScottPerry,Republican
253,776664410,RepCartwright,Democrat
254,1058345042,RepTomRice,Republican
255,1074480192,SenTedCruz,Republican
256,1058051748,TXRandy14,Republican
257,231510077,JoaquinCastrotx,Democrat
258,1077446982,RepRWilliams,Republican
259,1074129612,RepVeasey,Democrat
260,1072008757,RepChrisStewart,Republican
261,1058917562,RepDerekKilmer,Democrat
262,1206227149,RepMarkPocan,Democrat
263,1339931490,RepRobinKelly,Democrat
264,1623308912,RepJasonSmith,Republican
265,2167097881,SenBooker,Democrat
266,2293131060,RepKClark,Democrat
267,3122099613,DonaldNorcross,Democrat
268,2916086925,RepAdams,Democrat
269,2861616083,USRepGaryPalmer,Republican
270,2953974395,RepFrenchHill,Republican
271,2852998461,RepWesterman,Republican
272,2966570782,RepRubenGallego,Democrat
273,2968007206,RepDeSaulnier,Democrat
274,3018670151,RepPeteAguilar,Democrat
275,3044993235,RepTedLieu,Democrat
276,236279233,NormaJTorres,Democrat
277,2862577383,RepKenBuck,Republican
278,2973870195,RepBuddyCarter,Republican
279,2975091705,CongressmanHice,Republican
280,2914163523,RepLoudermilk,Republican
281,2964287128,RepRickAllen,Republican
282,2964877294,RepBost,Republican
283,2951574214,RepGarretGraves,Republican
284,3091316093,RepMoulton,Democrat
285,2696643955,RepMoolenaar,Republican
286,2970279814,RepDebDingell,Democrat
287,2863006655,RepLawrence,Democrat
288,2914515430,RepTomEmmer,Republican
289,834069080,RepDavidRouzer,Republican
290,2968451607,RepBonnie,Democrat
291,2750127259,RepLeeZeldin,Republican
292,2970462034,RepKathleenRice,Democrat
293,2962813893,RepStefanik,Republican
294,2966765501,RepJohnKatko,Republican
295,4304448314,CongBoyle,Democrat
296,2929491549,RepBrianBabin,Republican
297,2962868158,RepDonBeyer,Democrat
298,2724095695,StaceyPlaskett,Democrat
299,2930635215,RepNewhouse,Republican
300,2976606250,RepGrothman,Republican
301,2964526557,RepAlexMooney,Republican
302,3026622545,RepAmata,Republican
303,2891210047,SenDanSullivan,Republican
304,2856787757,SenJoniErnst,Republican
305,2964174789,SenThomTillis,Republican
306,2955485182,SenatorRounds,Republican
307,2962923040,SenSasse,Republican
308,3317799825,RepTrentKelly,Republican
309,3686482216,RepLaHood,Republican
310,742735530287304704,WarrenDavidson,Republican
311,1274852794206388225,RepJamesComer,Republican
312,90639372,RepDwightEvans,Democrat
313,816683274076614656,SenJohnKennedy,Republican
314,946549322,SenatorHassan,Democrat
315,811313565760163844,SenCortezMasto,Democrat
316,1071840474,RepSchneider,Democrat
317,808416682972770304,RepOHalleran,Democrat
318,816652616625168388,RepAndyBiggsAZ,Republican
319,816298918468259841,RepRoKhanna,Democrat
320,796736612554117120,RepJimmyPanetta,Democrat
321,816157667882373120,RepCarbajal,Democrat
322,816833925456789505,RepBarragan,Democrat
323,815985039485837312,RepLouCorrea,Democrat
324,817050219007328258,RepLBR,Democrat
325,818948638890217473,RepMattGaetz,Republican
326,815952318487298048,DrNealDunnFL2,Republican
327,828977216595849216,RepRutherfordFL,Republican
328,818472418620608512,RepAlLawsonJr,Democrat
329,796183515998068736,RepStephMurphy,Democrat
330,818713465653051392,RepDarrenSoto,Democrat
331,798973032362606600,RepValDemings,Democrat
332,814103950404239360,RepBrianMast,Republican
333,806583915012046854,RepDrewFerguson,Republican
334,814179031956488192,CongressmanRaja,Democrat
335,816131319033950208,RepJimBanks,Republican
336,811986281177772032,RepTrey,Republican
337,1336344005588738052,SenatorMarshall,Republican
338,843636970538618880,RepClayHiggins,Republican
339,827279765287559171,RepMikeJohnson,Republican
340,823552974253342721,RepAnthonyBrown,Democrat
341,806906355214852096,RepRaskin,Democrat
342,815241612154417152,RepJackBergman,Republican
343,817138492614524928,RepTedBudd,Republican
344,818975124460335106,RepDonBacon,Republican
345,815310506596691968,RepJoshG,Democrat
346,818554054309715969,SenJackyRosen,Democrat
347,816705409486618624,RepTomSuozzi,Democrat
348,817076257770835968,RepEspaillat,Democrat
349,816303263586914304,RepBrianFitz,Republican
350,41417564,RepSmucker,Republican
351,819744763020775425,RepJenniffer,Republican
352,816012124505931780,RepDavidKustoff,Republican
353,818536152588238849,RepGonzalez,Democrat
354,816284664658874368,RepArrington,Republican
355,816181091673448448,RepMcEachin,Democrat
356,815733290955112448,RepJayapal,Democrat
357,815966620300480514,RepGallagher,Republican
358,816719802328715264,RepLizCheney,Republican
359,854715071116849157,RepRonEstes,Republican
360,880480631108644864,RepRalphNorman,Republican
361,2371339658,RepJimmyGomez,Democrat
362,931614483050414080,RepJohnCurtis,Republican
363,941000686275387392,SenTinaSmith,Democrat
364,983348251972816896,SenHydeSmith,Republican
365,984456621417000960,RepConorLamb,Democrat
366,996094929733652481,RepDLesko,Republican
367,1039879658400112640,RepCloudTX,Republican
368,1037341536592310272,RepBalderson,Republican
369,1067818539179024386,repkevinhern,Republican
370,1064595993222615040,RepJoeMorelle,Democrat
371,1067541214671577093,RepMGS,Democrat
372,1069636653353000962,RepSusanWild,Democrat
373,1081350574589833221,RepEdCase,Democrat
374,389840566,RepHorsford,Democrat
375,1081240074946252801,RepKirkpatrick,Democrat
376,1080885078425784320,RepGregStanton,Democrat
377,1080851152151953410,RepJoshHarder,Democrat
378,1081222837459996672,RepKatiePorter,Democrat
379,1072134139560620033,RepMikeLevin,Democrat
380,1078749802765139968,RepJoeNeguse,Democrat
381,1080191866509901826,RepJasonCrow,Democrat
382,1082086081238102018,RepJahanaHayes,Democrat
383,1082416697380913152,RepWaltzPress,Republican
384,1083125649609506816,RepGregSteube,Republican
385,1082380458976051202,RepLucyMcBath,Democrat
386,346509049,GuamCongressman,Democrat
387,1080865917377097728,RepCindyAxne,Democrat
388,1078741899572240384,RepRussFulcher,Republican
389,1082427779583541248,RepChuyGarcia,Democrat
390,1083472286089396224,RepCasten,Democrat
391,1080539438508400642,RepUnderwood,Democrat
392,1086316494450032640,RepJimBaird,Republican
393,1082369392229400576,RepGregPence,Republican
394,1080516116395499522,RepDavids,Democrat
395,1079802482640019456,RepLoriTrahan,Democrat
396,1080584229510172678,RepPressley,Democrat
397,1080573351914061825,RepDavidTrone,Democrat
398,1078401427347857408,RepSlotkin,Democrat
399,1080277407867772930,RepAndyLevin,Democrat
400,1076161611033968640,RepHaleyStevens,Democrat
401,1079769536730140672,RepRashida,Democrat
402,1080222360643485698,RepAngieCraig,Democrat
403,1061310112013434882,RepDeanPhillips,Democrat
404,1082334352711790593,Ilhan,Democrat
405,1075830599007510535,RepPeteStauber,Republican
406,1081243468327018496,RepMichaelGuest,Republican
407,1080515866255593472,RepArmstrongND,Republican
408,1067748650485497862,RepChrisPappas,Democrat
409,1468677099594698757,Congressman_JVD,Republican
410,1078771848882593793,RepAndyKimNJ,Democrat
411,1080898026418384897,RepMalinowski,Democrat
412,1080569698536878081,RepSherrill,Democrat
413,1079061579973439488,RepSusieLee,Democrat
414,1079104563280527364,RepAOC,Democrat
415,1054381765224210432,RepAGonzalez,Republican
416,567508925,RepDean,Democrat
